Date mutation,Valeur fonciere,No voie,Type de voie,Voie,Code ID commune,Code postal,Commune,Code departement,Code commune,1er lot,Surface Carrez du 1er lot,Type local,Surface reelle bati,Nombre pieces principales
2020-06-04 00:00:00,100000,780.0,RUE,DE LA REPUBLIQUE,43,1550.0,FARGES,1,158,1,"135,89",Appartement,60,2
2020-06-17 00:00:00,595600,53.0,ALL,DES PRUNUS,6,1630.0,ST-GENIS-POUILLY,1,354,17,"166,98",Appartement,166,5
2020-06-26 00:00:00,225000,71.0,CHE,DE LA PRALAY,44,1170.0,CROZET,1,135,1,"58,13",Appartement,65,2
2020-01-14 00:00:00,106000,46.0,AV,DES NATIONS,45,1330.0,VILLARS-LES-DOMBES,1,443,49,"38,67",Appartement,39,2
2020-01-10 00:00:00,203400,13.0,RUE,DE LAYE,46,1800.0,MEXIMIEUX,1,244,1,"120,5",Maison,110,5
2020-01-07 00:00:00,212150,151.0,RTE,DE BELLEVILLE,47,1090.0,MONTCEAUX,1,258,3,"86,8",Appartement,90,3
2020-01-03 00:00:00,102000,9.0,RUE,NEUVE,48,1120.0,MONTLUEL,1,262,4,"41,82",Appartement,47,1
2020-01-16 00:00:00,150200,768.0,RUE,EDOUARD HERRIOT,49,1480.0,JASSANS-RIOTTIER,1,194,26,"56,63",Appartement,56,2
2020-01-13 00:00:00,129400,172.0,RUE,HECTOR BERLIOZ,50,1480.0,BEAUREGARD,1,30,1,"79,06",Appartement,77,3
2020-04-06 00:00:00,130000,2.0,RUE,DE LYON,46,1800.0,MEXIMIEUX,1,244,10,"65,82",Appartement,65,3
2020-05-15 00:00:00,84800,1172.0,RTE,DE GENEVE,51,1120.0,DAGNEUX,1,142,9,"38,43",Appartement,44,3
2020-05-20 00:00:00,282600,62.0,CHE,DU BONATIER,52,1390.0,MIONNAY,1,248,30,"85,95",Appartement,85,4
2020-05-22 00:00:00,145100,40.0,MTE,DES CANNES,53,1800.0,VILLIEU-LOYES-MOLLON,1,450,11,"48,42",Appartement,48,2
