regrgp_nom,reg_nom,dep_nom,com_code,com_nom_maj,com_nom,dep_code,dep_id,reg_code
Province,Pays de la Loire,Maine-et-Loire,49305,SAINT-MARTIN-DU-BOIS,Saint-Martin-du-Bois,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87093,MASLEON,Masl̩on,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49307,SAINT-MATHURIN-SUR-LOIRE,Loire-Authion,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87094,MEILHAC,Meilhac,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49312,SAINT-PHILBERT-EN-MAUGES,Saint-Philbert-en-Mauges,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87101,MORTEMART,Mortemart,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49314,SAINT-QUENTIN-EN-MAUGES,Saint-Quentin-en-Mauges,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87103,NANTIAT,Nantiat,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49316,SAINT-REMY-EN-MAUGES,Saint-R̩my-en-Mauges,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87108,NOUIC,Nouic,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49317,SAINT-REMY-LA-VARENNE,Saint-R̩my-la-Varenne,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87109,ORADOUR-SAINT-GENEST,Oradour-Saint-Genest,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49326,SARRIGNE,Sarrign̩,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87131,SAILLAT-SUR-VIENNE,Saillat-sur-Vienne,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49333,SEICHES-SUR-LE-LOIR,Seiches-sur-le-Loir,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87132,SAINT-AMAND-LE-PETIT,Saint-Amand-le-Petit,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49337,SOUCELLES,Soucelles,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87133,SAINT-AMAND-MAGNAZEIX,Saint-Amand-Magnazeix,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49339,SOULAIRE-ET-BOURG,Soulaire-et-Bourg,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87137,SAINT-BAZILE,Saint-Bazile,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49349,TILLIERES,Tilli̬res,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87145,SAINT-GEORGES-LES-LANDES,Saint-Georges-les-Landes,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49355,TREMENTINES,Tr̩mentines,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87146,SAINT-GERMAIN-LES-BELLES,Saint-Germain-les-Belles,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49357,TREVES-CUNAULT,Tr̬ves-Cunault,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87155,SAINT-JUNIEN-LES-COMBES,Saint-Junien-les-Combes,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49358,TURQUANT,Turquant,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87158,SAINT-LAURENT-SUR-GORRE,Saint-Laurent-sur-Gorre,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49366,VERGONNES,Vergonnes,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87163,SAINT-MARTIAL-SUR-ISOP,Saint-Martial-sur-Isop,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49367,VERN-D'ANJOU,Erdre-en-Anjou,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87165,SAINT-MARTIN-LE-MAULT,Saint-Martin-le-Mault,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49372,LE VIEIL-BAUGE,Le Vieil-Baug̩,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87167,SAINT-MARTIN-TERRESSUS,Saint-Martin-Terressus,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49373,VIHIERS,Lys-Haut-Layon,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87168,SAINT-MATHIEU,Saint-Mathieu,87,D087,75
Province,Normandie,Manche,50001,ACQUEVILLE,Acqueville,50,D050,28
Province,Nouvelle-Aquitaine,Haute-Vienne,87179,SAINT-SORNIN-LA-MARCHE,Saint-Sornin-la-Marche,87,D087,75
Province,Normandie,Manche,50002,AGNEAUX,Agneaux,50,D050,28
Province,Nouvelle-Aquitaine,Haute-Vienne,87184,SAINT-SYMPHORIEN-SUR-COUZE,Saint-Symphorien-sur-Couze,87,D087,75
Province,Normandie,Manche,50004,AIREL,Airel,50,D050,28
Province,Nouvelle-Aquitaine,Haute-Vienne,87185,SAINT-VICTURNIEN,Saint-Victurnien,87,D087,75
Province,Normandie,Manche,50005,AMFREVILLE,Amfreville,50,D050,28
Province,Nouvelle-Aquitaine,Haute-Vienne,87187,SAINT-YRIEIX-LA-PERCHE,Saint-Yrieix-la-Perche,87,D087,75
Province,Normandie,Manche,50008,ANCTOVILLE-SUR-BOSCQ,Anctoville-sur-Boscq,50,D050,28
Province,Nouvelle-Aquitaine,Haute-Vienne,87191,SEREILHAC,S̩reilhac,87,D087,75
Province,Normandie,Manche,50014,ANNEVILLE-SUR-MER,Anneville-sur-Mer,50,D050,28
Province,Nouvelle-Aquitaine,Haute-Vienne,87193,SURDOUX,Surdoux,87,D087,75
Province,Normandie,Manche,50016,APPEVILLE,Appeville,50,D050,28
